Structure;Service;numero;AdresseStructure;CPStructure;VilleStructure;FaxStructure;TelStructure;Observations;email
ADSEA 80;;1;chemin des Vignes;80094;AMIENS CEDEX 3;;03 22 46 52 35;;
AEMO ARGENTEUIL;;12;Boulevard Maurice Berteaux;95100;ARGENTEUIL;01 34 23 59 11;01 34 23 59 10;;
ASE D'ARGENTEUIL ;Equipe enfance d'Argenteuil ;10;rue Leveque;95100;ARGENTEUIL ;;01 39 96 54 36;;
ASE D'ARNOUVILLE LES GONESSE;;34;Avenue Pierre Sémard;95400;ARNOUVILLE LES GONESSE;01 39 33 67 94;01 39 85 04 29;;
ASE D'AUBERVILLIERS;;50;rue d'heurtault;93300;AUBERVILLIERS;01 43 52 75 23;01 48 39 32 30;;
AVVEJ;;1;avenue Antoine Bourdelle;93600;AULNAY SOUS BOIS;01 48 68 38 76;01 48 19 98 90;;equipe.sioae93@gmail.com
ASE DE AULNAY;;9;rue du 11 novembre;93600;AULNAY SOUS BOIS;01 48 68 84 29;01 48 69 82 46;;
ADSEA AULNAY;;1;Avenue Antoine Bourdelle;93600;AULNAY SOUS BOIS;01 48 79 95 99;01 48 79 88 00;;
MAISON D'ENFANCE;;539;ROUTE DE MONTDIDIER;80500;AYENCOURT LE MONCHEL;03 22 87 93 76;03 22 78 25 37;;
ASE DE BAGNOLET;;26;rue Malmaison;93170;BAGNOLET;01 43 60 00 82;01 43 60 08 72;;
ASE BAUMONT DOMENT;;;Centre social Louis Mazade - 7 rue Leon Gaudin;95260;BAUMONT SUR OISE;;01 30 34 69 00;;
CIRCONSCRIPTION ACTION SOCIALE BEAUMONT;ASE;7;rue Léon Gaudin;95260;BEAUMONT SUR OISE;01 34 70 97 63;01 30 34 03 41;;
MSF BOISLISLE;;69;avenue victor Hugo;60000;BEAUVAIS;;03 44 10 77 05;;
DTS DE BEAUVAIS;;28;rue Brulet;60000;BEAUVAIS;;03 44 10 81 00;;
ASE DE BEAUVAIS;;;Avenue de l'Europe;60000;BEAUVAIS;;3;;
AEMO - BEAUVAIS;;10;rue Jeanne d'Arc;60000;BEAUVAIS;03 44 48 29 99;03 44 48 33 11;;
ADSEAO BEAUVAIS;;;Rue Filatures;60000;BEAUVAIS;;03 44 06 04 04;;
